sample_id,class,board_id,selected_alpha,pixel_diff_ap,pixel_diff_auc,pixel_diff_positive_patches,pixel_diff_negative_patches,pixel_diff_pos_mean,pixel_diff_neg_mean,pixel_diff_lift,pixel_diff_top1_hit,pixel_diff_top5_hit,pixel_diff_top10_hit,dinov2_diff_ap,dinov2_diff_auc,dinov2_diff_positive_patches,dinov2_diff_negative_patches,dinov2_diff_pos_mean,dinov2_diff_neg_mean,dinov2_diff_lift,dinov2_diff_top1_hit,dinov2_diff_top5_hit,dinov2_diff_top10_hit,hybrid_pixel_dino_ap,hybrid_pixel_dino_auc,hybrid_pixel_dino_positive_patches,hybrid_pixel_dino_negative_patches,hybrid_pixel_dino_pos_mean,hybrid_pixel_dino_neg_mean,hybrid_pixel_dino_lift,hybrid_pixel_dino_top1_hit,hybrid_pixel_dino_top5_hit,hybrid_pixel_dino_top10_hit
01_missing_hole_11,Missing_hole,01,0.8,0.3704526331770164,0.6758770435967303,16,1468,4.92041015625,0.47884732484817505,10.275529861450195,True,True,True,0.44750016196248876,0.915233310626703,16,1468,0.06237344071269035,0.0020584501326084137,30.301025390625,True,True,True,0.5217908723211317,0.9311563351498637,16,1468,0.2124590426683426,0.006390083115547895,33.24819564819336,True,True,True
01_missing_hole_12,Missing_hole,01,0.8,0.5036987508021188,0.759749659400545,16,1468,3.1114096641540527,0.47891828417778015,6.496744155883789,True,True,True,0.23022517447584698,0.9247275204359673,16,1468,0.03601071238517761,0.002012057928368449,17.897369384765625,False,True,True,0.5248020226546948,0.8145010217983651,16,1468,0.27347809076309204,0.013541708700358868,20.195226669311523,True,True,True
01_missing_hole_13,Missing_hole,01,0.8,0.5701467481762098,0.7853498542274052,14,1470,5.064825534820557,0.4789443612098694,10.574976921081543,True,True,True,0.4030040064715982,0.9667638483965015,14,1470,0.054497361183166504,0.0020954797510057688,26.006986618041992,False,True,True,0.6477776182967864,0.9431000971817298,14,1470,0.2661021649837494,0.008012747392058372,33.20981216430664,True,True,True
01_missing_hole_14,Missing_hole,01,0.8,0.3652430936626769,0.643804664723032,14,1470,3.764136791229248,0.47901612520217896,7.858058452606201,True,True,True,0.25014086121888235,0.9351797862001943,14,1470,0.042819079011678696,0.002115189330652356,20.2435245513916,False,True,True,0.446467234950556,0.861175898931001,14,1470,0.25581279397010803,0.010438527911901474,24.506572723388672,True,True,True
01_missing_hole_15,Missing_hole,01,0.8,0.41576120045893245,0.7796648550724637,12,1472,4.255424976348877,0.47899508476257324,8.884068489074707,True,True,True,0.34026284720245237,0.9646173007246377,12,1472,0.05189816281199455,0.00197347323410213,26.297752380371094,False,True,True,0.6027459462894204,0.9547101449275361,12,1472,0.23828427493572235,0.008358675055205822,28.507389068603516,True,True,True
01_missing_hole_16,Missing_hole,01,0.8,0.3746249100898562,0.7316927792915531,16,1468,3.8563637733459473,0.4787497818470001,8.055071830749512,True,True,True,0.3331652733826502,0.8604819482288829,16,1468,0.05427755042910576,0.002090967260301113,25.95798683166504,True,True,True,0.3997383281572546,0.8671236376021798,16,1468,0.18772688508033752,0.007148901931941509,26.25950813293457,True,True,True
01_missing_hole_17,Missing_hole,01,0.8,0.4241751900346736,0.6067055393586006,14,1470,4.5559892654418945,0.47918087244033813,9.507869720458984,True,True,True,0.41475112248974066,0.9432944606413993,14,1470,0.06374817341566086,0.0021675799507647753,29.409704208374023,False,True,True,0.5569101188623542,0.8967444120505346,14,1470,0.21493197977542877,0.006932817865163088,31.00206756591797,True,True,True
01_missing_hole_18,Missing_hole,01,0.8,0.4159834490448701,0.7535665760869564,12,1472,4.646376132965088,0.47892075777053833,9.701764106750488,True,True,True,0.4317820022541385,0.9771852355072463,12,1472,0.06412933021783829,0.002063147025182843,31.083110809326172,True,True,True,0.542252905545159,0.9545403079710144,12,1472,0.23987172544002533,0.007535404060035944,31.832590103149414,True,True,True
01_missing_hole_19,Missing_hole,01,0.8,0.42342068115741077,0.6069972826086956,12,1472,4.860568523406982,0.4791012108325958,10.145180702209473,True,True,True,0.3912083924793867,0.9540307971014493,12,1472,0.05331561341881752,0.0021097883582115173,25.270483016967773,False,True,True,0.6066193940680513,0.8847939311594203,12,1472,0.2738410532474518,0.008605602197349072,31.821216583251953,True,True,True
01_missing_hole_20,Missing_hole,01,0.8,0.33841963103869455,0.5071897644927537,12,1472,4.448784828186035,0.4792197644710541,9.283391952514648,True,True,True,0.3922139218115262,0.9314424818840581,12,1472,0.06042426824569702,0.0020538982935249805,29.419170379638672,True,True,True,0.5090919068605376,0.7798346920289855,12,1472,0.27135393023490906,0.008967629633843899,30.259235382080078,True,True,True
